subject,rows,time_seconds
viewer,5,0.087043
viewer,50,0.083434
viewer,100,0.117905
viewer,150,0.048948
viewer,200,0.046996
viewer,250,0.086188
viewer,300,0.084425
viewer,350,0.048602
viewer,400,0.049632
viewer,450,0.047691
movie,5,0.080525
movie,50,0.047023
movie,100,0.081565
movie,150,0.048113
movie,200,0.085723
movie,250,0.048725
movie,300,0.050777
movie,350,0.081263
movie,400,0.048638
movie,450,0.087741
cinema,5,0.116084
cinema,50,0.045706
cinema,100,0.045759
cinema,150,0.045418
cinema,200,0.079544
cinema,250,0.047008
cinema,300,0.047029
cinema,350,0.083707
cinema,400,0.047592
cinema,450,0.085538
hall,5,0.082958
hall,50,0.046861
hall,100,0.046043
hall,150,0.045287
hall,200,0.048187
hall,250,0.120748
hall,300,0.100533
hall,350,0.104981
hall,400,0.082771
hall,450,0.047309
session,5,0.081939
session,50,0.082327
session,100,0.093944
session,150,0.090254
session,200,0.092969
session,250,0.081018
session,300,0.082546
session,350,0.089979
session,400,0.086113
session,450,0.046779
viewer_profile,5,0.116763
viewer_profile,50,0.083965
viewer_profile,100,0.046000
viewer_profile,150,0.047143
viewer_profile,200,0.082565
viewer_profile,250,0.082639
viewer_profile,300,0.081443
viewer_profile,350,0.083080
viewer_profile,400,0.047141
viewer_profile,450,0.122131
movie_review,5,0.155374
movie_review,50,0.081677
movie_review,100,0.084051
movie_review,150,0.046185
movie_review,200,0.046139
movie_review,250,0.082463
movie_review,300,0.046285
movie_review,350,0.046673
movie_review,400,0.081537
movie_review,450,0.083315
ticket,5,0.044675
ticket,50,0.046273
ticket,100,0.043782
ticket,150,0.081396
ticket,200,0.082049
ticket,250,0.082382
ticket,300,0.155325
ticket,350,0.082154
ticket,400,0.046448
ticket,450,0.118019
cinema_hall,5,0.163817
cinema_hall,50,0.215257
cinema_hall,100,0.176839
cinema_hall,150,0.154897
cinema_hall,200,0.162803
cinema_hall,250,0.167350
cinema_hall,300,0.186622
cinema_hall,350,0.200187
cinema_hall,400,0.236626
cinema_hall,450,0.166546
viewer_profile,5,0.090439
viewer_profile,50,0.124909
viewer_profile,100,0.129034
viewer_profile,150,0.129178
viewer_profile,200,0.170781
viewer_profile,250,0.133098
viewer_profile,300,0.095130
viewer_profile,350,0.201516
viewer_profile,400,0.240791
viewer_profile,450,0.164740
session_group,5,0.303391
session_group,50,0.347058
session_group,100,0.349773
session_group,150,0.347362
session_group,200,0.458629
session_group,250,0.428768
session_group,300,0.491110
session_group,350,0.385385
session_group,400,0.413809
session_group,450,0.422070
reviews,5,0.209770
reviews,50,0.250835
reviews,100,0.277505
reviews,150,0.210559
reviews,200,0.177099
reviews,250,0.247659
reviews,300,0.178156
reviews,350,0.213874
reviews,400,0.214355
reviews,450,0.285685
