name,rows,best_time_seconds
viewer_select_prefix,100,0.038135
viewer_select_prefix,1000,0.038509
viewer_select_prefix,5000,0.037251
viewer_insert_bulk,100,0.039564
viewer_insert_bulk,1000,0.051231
viewer_insert_bulk,5000,0.106922
viewer_delete_bulk,100,0.037485
viewer_delete_bulk,1000,0.038239
viewer_delete_bulk,5000,0.041550
movie_select_by_genre,100,0.040416
movie_select_by_genre,1000,0.039395
movie_select_by_genre,5000,0.038258
movie_insert_bulk,100,0.038638
movie_insert_bulk,1000,0.041066
movie_insert_bulk,5000,0.051868
movie_delete_bulk,100,0.036880
movie_delete_bulk,1000,0.037846
movie_delete_bulk,5000,0.037769
cinema_select_city,100,0.037133
cinema_select_city,1000,0.037456
cinema_select_city,5000,0.037001
cinema_insert_bulk,100,0.037756
cinema_insert_bulk,1000,0.039523
cinema_insert_bulk,5000,0.048232
cinema_delete_bulk,100,0.038612
cinema_delete_bulk,1000,0.036592
cinema_delete_bulk,5000,0.037334
hall_select_by_seat_count,100,0.037234
hall_select_by_seat_count,1000,0.036929
hall_select_by_seat_count,5000,0.137688
hall_insert_bulk,100,0.038872
hall_insert_bulk,1000,0.041507
hall_insert_bulk,5000,0.053524
hall_delete_bulk,100,0.037486
hall_delete_bulk,1000,0.037606
hall_delete_bulk,5000,0.039601
session_select_by_price,100,0.036467
session_select_by_price,1000,0.037101
session_select_by_price,5000,0.037016
session_insert_bulk,100,0.039064
session_insert_bulk,1000,0.043602
session_insert_bulk,5000,0.057331
session_delete_bulk,100,0.038736
session_delete_bulk,1000,0.036688
session_delete_bulk,5000,0.038938
viewer_profile_select,100,0.041009
viewer_profile_select,1000,0.038841
viewer_profile_select,5000,0.037978
viewer_profile_insert,100,0.040222
viewer_profile_insert,1000,0.048888
viewer_profile_insert,5000,0.041454
viewer_profile_delete,100,0.037453
viewer_profile_delete,1000,0.037369
viewer_profile_delete,5000,0.037938
movie_review_select,100,0.037997
movie_review_select,1000,0.039522
movie_review_select,5000,0.038057
movie_review_insert,100,0.042165
movie_review_insert,1000,0.040707
movie_review_insert,5000,0.039121
movie_review_delete,100,0.036959
movie_review_delete,1000,0.038159
movie_review_delete,5000,0.037565
ticket_select_join_viewer_session,100,0.040740
ticket_select_join_viewer_session,1000,0.041987
ticket_select_join_viewer_session,5000,0.041893
session_join_movie,100,0.038147
session_join_movie,1000,0.037870
session_join_movie,5000,0.038612
hall_join_cinema,100,0.038265
hall_join_cinema,1000,0.039710
hall_join_cinema,5000,0.037640
